season,episode,song_title,song_url,artist_name,artist_url
1,S1E1,Red Right Hand (2011 Remastered Version),https://www.tunefind.com/song/59219/74443/,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
1,S1E1,Zanstra,https://www.tunefind.com/song/173998/231392/,"Nick Cave & The Bad Seeds, Warren Ellis",https://www.tunefind.com/artist/nick-cave-the-bad-seeds-warren-ellis
1,S1E1,Martha's Dream,https://www.tunefind.com/song/59240/74442/,Nick Cave & Warren Ellis,https://www.tunefind.com/artist/nick-cave-warren-ellis
1,S1E1,I Think I Smell a Rat,https://www.tunefind.com/song/16397/74444/i-think-i-smell-a-rat,The White Stripes,https://www.tunefind.com/artist/the-white-stripes
1,S1E1,St. James Infirmary Blues,https://www.tunefind.com/song/59235/74445/,The White Stripes,https://www.tunefind.com/artist/the-white-stripes
1,S1E1,Creases,https://www.tunefind.com/song/97683/124829/,Mearl,https://www.tunefind.com/artist/mearl
1,S1E1,Song For Jesse,https://www.tunefind.com/song/59223/74447/,Nick Cave & Warren Ellis,https://www.tunefind.com/artist/nick-cave-warren-ellis
1,S1E1,Queenie's Suite,https://www.tunefind.com/song/59222/74446/,Nick Cave & Warren Ellis,https://www.tunefind.com/artist/nick-cave-warren-ellis
1,S1E1,People Ain't No Good (2011 Remastered Edition),https://www.tunefind.com/song/633/76049/people-aint-no-good,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
1,S1E1,Carrickfergus,https://www.tunefind.com/song/83628/105771/,Irish Folk song,https://www.tunefind.com/artist/irish-folk-song
1,S1E1,Let Your Mother Win,https://www.tunefind.com/song/137062/180878/,Mearl,https://www.tunefind.com/artist/mearl
1,S1E1,Sheep,https://www.tunefind.com/song/98094/125379/,Mearl,https://www.tunefind.com/artist/mearl
1,S1E1,The Boy I Love is Up in the Gallery,https://www.tunefind.com/song/83629/105772/,George Ware,https://www.tunefind.com/artist/george-ware
1,S1E1,Blue Veins,https://www.tunefind.com/song/59225/288819/,The Raconteurs,https://www.tunefind.com/artist/the-raconteurs
1,S1E1,Love Is Blindness,https://www.tunefind.com/song/58127/247910/,Jack White,https://www.tunefind.com/artist/jack-white
1,S1E2,Blue Veins,https://www.tunefind.com/song/59225/74449/,The Raconteurs,https://www.tunefind.com/artist/the-raconteurs
1,S1E2,The Hardest Button to Button,https://www.tunefind.com/song/59226/74450/,The White Stripes,https://www.tunefind.com/artist/the-white-stripes
1,S1E2,Black Math,https://www.tunefind.com/song/59228/74452/,The White Stripes,https://www.tunefind.com/artist/the-white-stripes
1,S1E2,Tough Call,https://www.tunefind.com/song/59224/74448/,The Samphire Band,https://www.tunefind.com/artist/the-samphire-band
1,S1E2,The Proposition #1,https://www.tunefind.com/song/59227/74451/,Nick Cave & Warren Ellis,https://www.tunefind.com/artist/nick-cave-warren-ellis
1,S1E2,Tosca: Io tenni la promessa,https://www.tunefind.com/song/182736/242872/,Alberto Albertini,https://www.tunefind.com/artist/alberto-albertini
1,S1E2,"Brother, My Cup Is Empty (2010 Remastered Version)",https://www.tunefind.com/song/59231/74455/,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
1,S1E2,Vedi Le Mani Giunte Io Stendo,https://www.tunefind.com/song/182737/242873/,Giacomo Puccini,https://www.tunefind.com/artist/giacomo-puccini
1,S1E2,Little Room,https://www.tunefind.com/song/59232/74456/,The White Stripes,https://www.tunefind.com/artist/the-white-stripes
1,S1E2,Red Right Hand (Single Version) [1998 Remastered Version],https://www.tunefind.com/song/10253/84049/red-right-hand,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
1,S1E2,Black Velvet Band,https://www.tunefind.com/song/91728/116953/,Traditional Irish Folk song,https://www.tunefind.com/artist/traditional-irish-folk-song
1,S1E3,Red Right Hand (Single Version) [1998 Remastered Version],https://www.tunefind.com/song/10253/80845/red-right-hand,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
1,S1E3,Abattoir Blues,https://www.tunefind.com/song/59236/74460/,Nick Cave & The Bad Seeds,https://www.tunefind.com/artist/nick-cave-the-bad-seeds
1,S1E3,St. James Infirmary Blues,https://www.tunefind.com/song/59235/74459/,The White Stripes,https://www.tunefind.com/artist/the-white-stripes
